Symbol,Date,Open,High,Low,Close,Volume
AACG,26-Nov-2024,1.02,1.02,0.9803,1.02,15000
AADI,26-Nov-2024,2.24,2.31,2.22,2.31,74000
AADR,26-Nov-2024,67.66,67.66,67.66,67.66,100
AAL,26-Nov-2024,14.79,15.01,14.605,14.64,21625300
AAME,26-Nov-2024,1.53,1.6,1.4611,1.53,10300
AAOI,26-Nov-2024,38.27,39.41,36.17,37.02,2906600
AAON,26-Nov-2024,136.58,140.91,135.151,140.45,445100
AAPB,26-Nov-2024,29.72,30.1599,29.67,30.08,63600
AAPD,26-Nov-2024,16.46,16.4606,16.3399,16.38,200700
AAPL,26-Nov-2024,233.33,235.57,233.33,235.06,45986100
AAPU,26-Nov-2024,37.54,38.1507,37.54,37.97,400200
AAXJ,26-Nov-2024,74.02,74.02,73.51,73.63,510700
ABAT,26-Nov-2024,0.95,0.99,0.92,0.9467,267700
ABCL,26-Nov-2024,2.9,2.935,2.8,2.83,1757700
ABCS,26-Nov-2024,30.638,30.64,30.54,30.5951,1200
ABEO,26-Nov-2024,5.97,6.07,5.9339,6.03,212700
ABL,26-Nov-2024,7.75,7.93,7.65,7.82,678100
ABLLL,26-Nov-2024,26.25,26.35,26.25,26.3285,2400
ABLLW,26-Nov-2024,1.06,1.16,1.03,1.15,36700
ABLV,26-Nov-2024,0.845,0.9001,0.8226,0.88,19500
ABLVW,26-Nov-2024,0.0188,0.0188,0.0188,0.0188,100
ABNB,26-Nov-2024,140.78,141.75,139.18,139.67,3228400
ABOS,26-Nov-2024,2.36,2.38,2.2,2.2,322500
ABP,26-Nov-2024,2.93,3.35,2.87,2.9,77200
ABPWW,26-Nov-2024,0.0594,0.065,0.044,0.044,34000
ABSI,26-Nov-2024,2.82,2.84,2.74,2.75,1033300
ABTS,26-Nov-2024,0.65,0.664,0.6,0.615,13000
ABUS,26-Nov-2024,3.42,3.47,3.39,3.41,608500
ABVC,26-Nov-2024,0.522,0.5397,0.5003,0.506,133900
ABVE,26-Nov-2024,0.8,0.827,0.51,0.535,1661100
ABVEW,26-Nov-2024,0.017,0.04,0.017,0.0279,206500
ABVX,26-Nov-2024,8.27,8.63,8.23,8.5,89100
ACAD,26-Nov-2024,16.42,16.47,16.13,16.21,1254900
ACB,26-Nov-2024,4.58,4.59,4.39,4.41,1532400
ACCD,26-Nov-2024,3.81,3.855,3.69,3.77,1027700
ACDC,26-Nov-2024,7.85,8.58,7.75,8.44,683000
ACET,26-Nov-2024,0.9301,1.01,0.9301,0.9603,1482100
ACGL,26-Nov-2024,100.1,100.69,99.42,100.41,1269200
ACGLN,26-Nov-2024,19.93,20.012,19.57,19.71,29300
ACGLO,26-Nov-2024,22.82,22.82,22.6,22.65,29100
ACHC,26-Nov-2024,39.93,41.15,39.66,41.03,1632600
ACHL,26-Nov-2024,1.08,1.08,1.04,1.0715,44700
ACHV,26-Nov-2024,4.5,4.6048,4.45,4.48,94600
ACIC,26-Nov-2024,13.49,13.6404,13.2314,13.52,127300
ACIU,26-Nov-2024,3.37,3.43,3.29,3.4,82100
ACIW,26-Nov-2024,58.13,58.155,56.78,57.3,674600
ACLS,26-Nov-2024,77.66,77.66,73.5777,74.45,587100
ACLX,26-Nov-2024,89.4,92.48,89.3,90.96,459100
ACMR,26-Nov-2024,18.38,18.4399,17.12,17.37,1879500
ACNB,26-Nov-2024,47.94,48.16,46.81,46.81,12700
ACNT,26-Nov-2024,10.71,10.89,10.71,10.81,5500
ACOG,26-Nov-2024,5.84,5.9999,5.72,5.95,148000
ACON,26-Nov-2024,0.1767,0.186,0.1767,0.1812,265000
ACRS,26-Nov-2024,3.93,4.15,3.625,3.63,1997300
ACRV,26-Nov-2024,7.27,7.5257,7.17,7.35,27500
ACT,26-Nov-2024,35.15,35.275,34.69,35.25,209400
ACTG,26-Nov-2024,4.59,4.595,4.5,4.5,126100
ACTU,26-Nov-2024,9.09,9.09,8.61,9,80400
ACVA,26-Nov-2024,22.61,22.82,22.01,22.39,1645900
ACWI,26-Nov-2024,121.04,121.19,120.61,121.04,1691500
ACWX,26-Nov-2024,53.89,53.89,53.57,53.69,795300
ACXP,26-Nov-2024,1.33,1.33,1,1.14,448700
ADAG,26-Nov-2024,2.34,2.34,2.1803,2.22,12800
ADAP,26-Nov-2024,0.707,0.707,0.675,0.68,387600
ADBE,26-Nov-2024,519.95,525.76,516.3601,525.3,2415700
ADD,26-Nov-2024,5.5,5.5,4.07,4.19,205700
