Symbol,Volume
AACG,15000
AADI,74000
AADR,100
AAL,21625300
AAME,10300
AAOI,2906600
AAON,445100
AAPB,63600
AAPD,200700
AAPL,45986100
AAPU,400200
AAXJ,510700
ABAT,267700
ABCL,1757700
ABCS,1200
ABEO,212700
ABL,678100
ABLLL,2400
ABLLW,36700
ABLV,19500
ABLVW,100
ABNB,3228400
ABOS,322500
ABP,77200
ABPWW,34000
ABSI,1033300
ABTS,13000
ABUS,608500
ABVC,133900
ABVE,1661100
ABVEW,206500
ABVX,89100
ACAD,1254900
ACB,1532400
ACCD,1027700
ACDC,683000
ACET,1482100
ACGL,1269200
ACGLN,29300
ACGLO,29100
ACHC,1632600
ACHL,44700
ACHV,94600
ACIC,127300
ACIU,82100
ACIW,674600
ACLS,587100
ACLX,459100
ACMR,1879500
ACNB,12700
ACNT,5500
ACOG,148000
ACON,265000
ACRS,1997300
ACRV,27500
ACT,209400
ACTG,126100
ACTU,80400
ACVA,1645900
ACWI,1691500
ACWX,795300
ACXP,448700
ADAG,12800
ADAP,387600
ADBE,2415700
ADD,205700
ADEA,363700
ADGM,76700
ADI,6569000
ADIL,78400
ADMA,2140900
ADN,157100
ADNWW,116100
ADP,1048700
ADPT,1702200
ADSE,82000
ADSEW,24200
ADSK,2519900
ADTN,822500
ADTX,2044300
ADUR,70200
ADUS,130200
ADV,290900
ADVM,133200
ADVWW,1500
ADXN,176700
AEHL,462100
AEHR,771300
AEI,16500
AEIS,383400
AEMD,76100
AENT,47600
AENTW,19200
AEP,2277600
AERT,46100
AEYE,106100
AFBI,2500
AFCG,114100
AFJK,100
AFMD,203100
AFRI,3100
AFRIW,20900
AFRM,8839500
AFYA,94100
AGAE,11600
AGEN,370500
AGFY,465300
AGIO,484500
AGIX,4100
AGMH,142700
AGMI,800
AGNC,22242000
AGNCL,14300
AGNCM,7000
AGNCN,20900
AGNCO,35900
AGNCP,47900
AGNG,4400
AGRI,14603600
AGYS,233700
AGZD,449600
AHCO,705200
AHG,19500
AIA,14700
AIEV,52100
AIFF,135200
AIFU,52100
AIHS,38400
AILE,377500
AILEW,129400
AIMAU,400
AIMD,31600
AIOT,1807200
AIP,223200
AIPI,178500
AIQ,354900
AIRE,68300
AIRG,22800
AIRJ,35600
AIRJW,7400
AIRL,100
AIRR,674300
AIRS,534600
AIRT,16500
AIRTP,3200
AISP,908100
AISPW,23700
AIXI,59400
AKAM,1678600
AKAN,259600
AKBA,3908100
AKRO,397600
AKTS,12751600
AKTX,157600
AKYA,148800
ALAB,4343800
ALAR,228200
ALBT,135600
ALCE,93500
ALCO,32800
ALCYU,100
ALCYW,31400
ALDFU,300
ALDX,432300
ALEC,8130300
ALF,4500
ALFUU,100
ALFUW,62500
ALGM,2158600
ALGN,1612800
ALGS,371600
ALGT,285100
ALHC,1342600
ALKS,1462600
ALKT,1969400
ALLK,70700
ALLO,5295100
ALLR,146300
ALLT,709400
ALMS,68200
ALNT,274700
ALNY,985900
ALOT,1300
ALRM,343200
ALRN,36900
ALRS,132100
ALSA,5800
ALSAW,4400
ALT,2139100
ALTI,57200
ALTO,449800
ALTR,488600
ALTS,49000
ALTY,12900
ALVO,37900
ALVOW,10400
ALVR,319900
ALXO,550400
ALZN,116700
AMAL,176800
AMAT,6517000
AMBA,2367700
AMCX,592200
AMD,32092300
AMDL,3398900
AMDS,9100
AMED,158700
AMGN,17010300
AMID,10700
AMIX,190700
AMKR,950400
AMLI,278000
AMLX,714100
AMPG,337600
AMPGW,2400
AMPH,283700
AMPL,205500
AMRK,192700
AMRN,1913800
AMRX,1077000
AMSC,824800
AMSF,142900
AMST,23200
AMTX,624200
AMWD,545000
AMZD,63400
AMZN,41673700
AMZU,1389400
AMZZ,117900
ANAB,686700
ANDE,191700
ANEB,9000
ANGH,6800
ANGI,815300
ANGL,982700
ANGO,250900
ANIK,108800
ANIP,196800
ANIX,68700
ANL,35000
ANNX,1373000
ANSC,39100
ANSCW,6900
ANSS,510500
ANTE,50700
ANTX,309300
ANY,810000
AOSL,963400
AOTG,100
AOUT,33200
APA,4680400
APCX,84300
APDN,1772800
APEI,88000
APGE,448600
API,1818700
APLD,16050800
APLM,392900
APLMW,698100
APLS,3302000
APLT,2471800
APM,56200
APOG,150200
APP,4442100
APPF,163700
APPN,324600
APPS,3043400
APRE,4900
APTO,627100
APVO,3027900
APWC,3900
APXI,1500
APYX,42700
AQB,23400
AQMS,179400
AQST,1520700
AQWA,1800
ARAY,492200
ARBB,141300
ARBE,330200
ARBEW,7800
ARBK,1211400
ARBKL,4300
ARCB,197200
ARCC,3898200
ARCT,281000
ARDX,3040100
AREB,21700
AREBW,2000
AREC,243800
ARGX,361800
ARHS,1441200
ARKO,365800
ARKR,10200
ARLP,389900
ARM,2605000
AROW,38500
ARQ,354500
ARQQ,1032200
ARQQW,136000
ARQT,2766600
ARRY,4594200
ARTL,8600
ARTNA,31300
ARTV,45100
ARTW,11300
ARVN,407800
ARVR,100
ARWR,8052100
ASET,11900
ASLE,352300
ASMB,39300
ASML,1424000
ASND,508100
ASNS,76400
ASO,1943100
ASPCU,5500
ASPI,28925900
ASPS,99600
ASRT,596700
ASRV,16400
ASST,306900
ASTC,22100
ASTE,186300
ASTH,309000
ASTI,61400
ASTL,825700
ASTLW,45800
ASTS,8295000
ASUR,93200
ASYS,36400
ATAI,1128300
ATAT,981300
ATEC,1012100
ATER,115200
ATEX,313700
ATGL,85100
ATHA,177800
ATHE,6000
ATIF,5400
ATLC,45700
ATLCL,3300
ATLCP,6200
ATLCZ,20700
ATLO,23400
ATLX,192100
ATMC,100
ATMVR,4300
ATNF,51100
ATNFW,6400
ATNI,61200
ATOM,671000
ATOS,709600
ATPC,15500
ATRA,65400
ATRC,333100
ATRO,3259300
ATSG,486900
ATXG,17400
ATXI,14600
ATXS,229800
ATYR,694800
AUBN,1000
AUDC,69100
AUID,73300
AUMI,2300
AUPH,750600
AUR,9537500
AURA,100800
AUROW,17500
AUTL,1802400
AUUD,70200
AVAH,207800
AVAV,437800
AVBP,226300
AVDL,1070800
AVDX,1450700
AVGO,16308700
AVGR,30900
AVGX,144700
AVIR,155400
AVL,13500
AVNW,184500
AVO,269900
AVPT,1872800
AVPTW,46800
AVS,0
AVT,520200
AVTE,165000
AVTX,41700
AVXC,7300
AVXL,2679700
AWH,88700
AWRE,114900
AXDX,51200
AXGN,216300
AXON,619300
AXSM,557800
AXTI,293600
AY,942600
AYRO,40000
AYTU,20100
AZ,73700
AZI,1077200
AZN,4334500
AZPN,545600
AZTA,802500
BABX,128900
BACK,11200
BACQU,3400
BAER,86100
BAERW,45000
BAFE,492500
BAFN,6900
BAND,223000
BANF,77300
BANL,2900
BANR,176800
BANX,5700
BAOS,3900
BASE,164800
BATRA,29000
BATRK,240900
BBCP,109900
BBGI,8800
BBH,10300
BBIO,4317400
BBLG,93100
BBSI,317500
BCAB,637000
BCAL,67200
BCAN,1800
BCAX,245500
BCBP,19500
BCDA,27100
BCG,58000
BCGWW,7100
BCLI,170800
BCML,38200
BCOV,2071200
BCOW,6700
BCPC,96900
BCRX,1432100
BCTX,2556200
BCTXW,736400
BCYC,790900
BDGS,2100
BDMD,141000
BDRX,19500
BDSX,529900
BDTX,402100
BEAGU,76500
BEAM,716200
BEAT,74700
BEATW,1200
BECN,518300
BEEM,259900
BEEZ,300
BELFA,10200
BELFB,67000
BELT,100
BENF,935700
BENFW,37000
BETR,14500
BFC,17000
BFIN,17800
BFRG,107500
BFRGW,1200
BFRI,1143800
BFRIW,1800
BFST,108300
BGC,3680100
BGFV,193300
BGLC,70200
BGM,8500
BGNE,308100
BGRN,16600
BGRO,500
BHAT,792700
BHF,286400
BHFAL,11200
BHFAM,27600
BHFAN,40400
BHFAO,29500
BHFAP,26600
BHIL,20500
BHRB,32600
BHST,17600
BIAF,29200
BIB,13900
BIDU,3131700
BIGC,2373900
BIIB,1418000
BILI,4124500
BIOA,122400
BIOR,134000
BIOX,279300
BIRD,71500
BIS,15500
BITF,48087400
BITS,10000
BIVI,1627800
BJDX,36400
BJK,1900
BJRI,214300
BKCH,73000
BKHA,25600
BKIV,100
BKNG,162700
BKR,4985700
BKWO,0
BKYI,33500
BL,771300
BLACW,6200
BLBD,2410800
BLBX,5900
BLCN,21300
BLCR,100
BLDE,2799100
BLDEW,430700
BLDP,4311200
BLFS,618100
BLFY,44700
BLIN,38700
BLKB,225000
BLLD,100
BLMN,1862700
BLMZ,114100
BLNK,3892700
BLRX,2175900
BLTE,115200
BLUE,3380800
BLZE,734100
BMBL,1551700
BMDL,0
BMEA,717300
BMR,138100
BMRA,147700
BMRC,54700
BMRN,999700
BNAI,117200
BND,5538200
BNDW,35700
BNDX,2725300
BNGO,2293200
BNIXR,400
BNOX,404800
BNR,15600
BNRG,75900
BNTC,21000
BNTX,771400
