Symbol,Volume
A,3444100
AA,3632500
AAC.S,1400
AAC.T,90500
AACT,1700
AAM,851800
AAM.U,200
AAM.W,100
AAP,2282900
AAT,231200
AB,431300
ABBV,6947500
ABCB,335000
ABEV,13571500
ABG,153100
ABM,377900
ABR,1973800
ABR-D,41600
ABR-E,9300
ABR-F,31000
ABT,4056800
AC,20200
ACA,209900
ACCO,763700
ACEL,381300
ACH.W,250600
ACHR,39613000
ACI,3124800
ACLO,600
ACM,716200
ACN,2106300
ACP,507400
ACP-A,5000
ACR,14100
ACR-C,4700
ACR-D,28800
ACRE,354200
ACV,47700
ADC,576400
ADC-A,28100
ADCT,666200
ADM,3017000
ADNT,1250400
ADT,4588100
ADX,316500
AEE,803500
AEFC,40600
AEG,3586200
AEM,1905400
AEO,3851000
AER,1002700
AES,20868700
AESI,1780400
AEV.W,84200
AEVA,533100
AFB,84600
AFG,362000
AFGB,3000
AFGC,5900
AFGD,5900
AFGE,6800
AFL,1238600
AG,6773300
AGCO,946600
AGD,167000
AGI,2147100
AGL,4577700
AGM,38000
AGM-D,2300
AGM-E,4100
AGM-F,12800
AGM-G,15300
AGM.A,600
AGO,328600
AGR,388000
AGRO,539900
AGS,211300
AGX,219500
AHH,534300
AHH-A,3200
AHL-C,14400
AHL-D,22500
AHL-E,18600
AHR,1684100
AHT,26800
AHT-D,1900
AHT-F,100
AHT-G,1800
AHT-H,900
AHT-I,200
AI,5955400
AIFD,4700
AIG,3640900
AIN,361300
AIO,89800
AIR,165300
AIT,449700
AIV,386300
AIZ,330700
AIZN,15400
AJG,1538500
AJX,149200
AKA,8700
AKO.A,800
AKO.B,4100
AKR,1150000
AL,671400
ALB,1973300
ALB-A,63800
ALC,925900
ALE,184000
ALEX,354900
ALG,117800
ALIT,4675400
ALK,1145600
ALL,2010500
ALL-B,17400
ALL-H,81600
ALL-I,25300
ALL-J,33100
ALLE,916600
ALLY,2988900
ALSN,347700
ALT-A,600
ALTG,248700
ALTM,5881000
ALU.W,900
ALUR,536100
ALV,819800
ALX,4400
AM,1715400
AMBC,422200
AMBP,1619300
AMC,21620400
AMCR,15969400
AME,1285000
AMG,141300
AMH,3025700
AMH-G,2200
AMH-H,2800
AMN,988400
AMP,377400
AMP.V,122600
AMPS,787500
AMPX,1963200
AMPY,167000
AMR,153500
AMRC,317900
AMT,1791400
AMTB,201000
AMTD,8600
AMTM,1098000
AMWL,62600
AMX,2162700
AN,615900
ANET,2119800
ANF,5018200
ANG-A,12000
ANG-B,7200
ANRO,220900
ANVS,271300
AOD,375200
AOMN,10000
AOMR,70200
AON,974500
AORT,154800
AOS,850700
AP,29200
APAM,343800
APD,1785000
APG,1211500
APH,4606600
APLE,1602100
APO,2733700
APO-A,14400
APOS,21500
APTV,4252100
AQN,3600400
AQNB,48500
AR,2751400
ARCH,323000
ARCO,1437300
ARDC,72400
ARDT,134800
ARE,1134800
ARE-B,43200
ARES,1586500
ARG-A,2300
ARGD,2100
ARI,685500
ARIS,324100
ARL,2400
ARLO,719500
ARMK,2760600
AROC,1169600
ARR,1064300
ARR-C,17900
ARW,383300
AS,1452800
ASA,63900
ASAI,870700
ASAN,1402300
ASB,1889100
ASB-E,1900
ASB-F,5500
ASBA,22900
ASC,1039700
ASG,185300
ASGI,128700
ASGN,362600
ASH,335200
ASIX,149000
ASPN,1879000
ASR,85400
ASX,5618200
ATC-D,7400
ATC-H,4700
ATEN,1528700
ATGE,185400
ATH-A,45100
ATH-B,26900
ATH-C,75900
ATH-D,25800
ATH-E,11600
ATHM,368300
ATHS,50100
ATI,881200
ATIP,90500
ATKR,1195000
ATMU,712900
ATO,603700
ATR,140300
ATS,106100
ATUS,2105000
AU,5430700
AUB,795900
AUB-A,7500
AUNA,46000
AVA,421800
AVAL,14600
AVB,730000
AVD,335100
AVK,283600
AVNS,442100
AVNT,535100
AVTR,6181700
AVY,539900
AWF,172300
AWI,177500
AWK,1332900
AWP,271600
AWR,303400
AX,496100
AXL,1842100
AXP,2130700
AXR,21500
AXS,623900
AXS-E,25200
AXTA,1980300
AYI,249200
AZEK,1071000
AZO,247100
AZUL,1308900
AZZ,155900
B,358900
BA,8234900
BA-A,1807600
BABA,10241400
BAC,30301500
BAC-B,51800
BAC-E,5400
BAC-K,32500
BAC-L,5900
BAC-M,217400
BAC-N,178700
BAC-O,74100
BAC-P,65400
BAC-Q,61400
BAC-S,63700
BAH,1661900
BAK,595600
BALL,1169300
BALY,198000
BAM,1247500
BAN-F,39900
BANC,2020200
BAP,168100
BAR.W,37800
BARK,3014200
BAX,4311100
BB,10826300
BBA.W,72200
BBAI,12478500
BBAR,817700
BBD,21842000
BBDC,385700
BBDO,35600
BBN,189300
BBU,23300
BBUC,46300
BBVA,1701400
BBW,207200
BBWI,8740400
BBY,10598000
BC,661200
BC-A,2600
BC-B,2100
BC-C,10600
BCAT,247800
BCC,312700
BCE,3286100
BCH,133800
BCO,355800
BCS,8174000
BCSF,187900
BCX,134000
BDC,247200
BDJ,355800
BDN,2017500
BDX,2176500
BE,8654100
BEDU,200
BEKE,8272500
BEN,3406100
BEP,856600
BEP-A,23200
BEPC,894500
BEPH,21300
BEPI,37300
BEPJ,3400
BERY,1956000
BEST,2400
BF.A,72400
BF.B,2499500
BFA.W,93500
BFAC,100
BFAM,521100
BFH,634600
BFK,75000
BFL.W,9800
BFLY,3427500
BFS,57800
BFS-E,1600
BFZ,133800
BG,1518200
BGB,143900
BGH,67500
BGR,73400
BGS,1668500
BGSF,39400
BGT,94100
BGX,61800
BGY,452000
BH,5500
BH.A,200
BHC,2193100
BHE,202200
BHK,182500
BHLB,455000
BHP,2354100
BHR,149300
BHR-B,1600
BHR-D,3100
BHV,1100
BHVN,838400
BIGZ,417300
BILL,1398600
BIO,167700
BIO.B,100
BIP,411300
BIP-A,3500
BIP-B,5000
BIPC,320200
BIPH,22000
BIPI,51100
BIPJ,8200
BIRK,775900
BIT,164000
BJ,1831300
BK,3239900
BKD,1586500
BKE,661800
BKH,510000
BKK.W,188500
BKKT,797300
BKN,50800
BKS.W,101900
BKSY,892600
BKT,118800
BKU,575400
BKV,297700
BLCO,322700
BLD,377000
BLDR,1149700
BLE,136400
BLK,772800
BLND,4872300
BLW,96800
BLX,97300
BMA,358200
BME,86500
BMEZ,493700
BMI,205600
BML-G,4100
BML-H,17700
BML-J,17900
BML-L,13400
BMN,15800
BMO,452400
BMY,7432800
BN,2054300
BNED,192400
BNH,10300
BNJ,17000
BNL,980600
BNS,1217300
BNT,9000
BNY,63100
BOC,94400
BODI,5500
BOE,96400
BOH,297200
BOH-A,13400
BOH-B,20800
BOND,265200
BOOT,1160100
BORR,4646200
BOW,397200
BOWL,617500
BOX,1770300
BP,14119900
BPT,143000
BR,655800
BRBR,1167900
BRC,356700
BRCC,423300
BRDG,195900
BRFS,1445800
BRK.A,1400
BRK.B,3331900
BRO,1371800
BROS,1599900
BRSP,404300
BRT,29000
BRW,147900
BRX,1216700
BSAC,552500
BSBR,397900
BSIG,212300
BSL,24800
BSM,541300
BST,87100
BSTZ,142500
BSX,4284400
BTA,30400
BTCM,167600
BTE,12831800
BTI,2696600
BTO,38000
BTT,112900
BTU,6621500
BTZ,245100
BUD,2493500
BUI,38400
BUR,1109500
BURL,2019800
BUXX,88500
BV,601200
BVN,603100
BW,719200
BW-A,136000
BWA,2298800
BWG,77700
BWLP,413900
BWMX,45500
BWNB,4800
BWSN,11200
BWXT,521800
BX,3205500
BXC,67200
BXMT,1090200
BXMX,116000
BXP,968300
BXSL,680700
BY,125600
BYD,478800
BYM,32800
BYON,2371500
BZH,641300
C,11605200
C-N,59200
CAAP,199300
CABO,58600
CACI,197400
CAD-A,8400
CADE,1353700
CAE,640500
CAF,25600
CAG,5294300
CAH,1684700
CAL,449000
CALX,1157100
CANG,306400
CAPL,22500
CARR,5718700
CARS,503500
