Ticker,Volume,number_options
TLT,31122200,28
QQQ,26557000,26
AMD,32092300,21
NVDA,190287600,20
AMZN,41673700,19
GOOGL,20486700,19
INTC,69613500,19
MSFT,23458800,19
QCOM,9489800,19
VST,5331000,19
AAPL,45986100,18
BA,8234900,18
BABA,10241400,18
CRWD,6951300,18
META,10356500,18
MU,19275600,18
PFE,33001000,18
PYPL,5610400,18
SNOW,7669600,18
TSLA,62295800,18
TSM,10186500,18
X,3943200,18
XOM,14827300,18
AAL,21625300,17
ADBE,2415700,17
ARM,2605000,17
AVGO,16308700,17
BAC,30301500,17
BKNG,162700,17
C,11605200,17
CEG,3881600,17
COP,12073600,17
DIS,6808100,17
DVN,10083100,17
FCX,11820900,17
GOOG,14937400,17
GS,2846900,17
JD,12297200,17
JNJ,5683400,17
JPM,6212100,17
LLY,6622600,17
MSTR,47891000,17
NEM,6383600,17
NKE,9495600,17
PARA,13048300,17
PDD,7430300,17
PLTR,46923500,17
SBUX,6558200,17
SCHW,5121000,17
TGT,9888200,17
WMT,16657000,17
ABNB,3228400,16
ABR,1973800,16
AMAT,6517000,16
APP,4442100,16
AXP,2130700,16
BSX,4284400,16
BX,3205500,16
COIN,13215700,16
CPRI,7222200,16
CRM,4492700,16
CSCO,14209600,16
CVX,7369900,16
DDOG,4365600,16
DKNG,5694000,16
ELF,2050200,16
GEV,2007900,16
HD,2758500,16
ISRG,1152800,16
MA,2326700,16
MDB,1768300,16
MPC,2072200,16
MRK,9324000,16
MRNA,7248900,16
MS,8817200,16
PANW,2860500,16
SLB,11192500,16
SMH,4996400,16
SNAP,27809500,16
SPOT,2660700,16
TXN,5260400,16
UBER,13704800,16
UNH,2693600,16
WBD,27346600,16
WOLF,15475400,16
ZS,1277400,16
ABBV,6947500,15
AEM,1905400,15
AMGN,17010300,15
ASML,1424000,15
BLK,772800,15
BMY,7432800,15
CAT,1796700,15
CLF,14605000,15
COST,1438000,15
DAL,5499600,15
DELL,12796200,15
EL,4799400,15
FDX,1669300,15
FSLR,1790400,15
HAL,11141900,15
HPE,8299300,15
INTU,1784100,15
LCID,51932400,15
LEN,1997200,15
LRCX,7385200,15
LULU,1209400,15
MMM,3080200,15
MRVL,9016200,15
NEE,10563800,15
NFLX,3138200,15
ORCL,6427200,15
OXY,12284500,15
PG,6276900,15
RBLX,6919300,15
RUN,7227400,15
SMCI,95313000,15
SOFI,38184300,15
TECK,1631700,15
TMUS,3251000,15
USB,5767500,15
V,7071500,15
VRTX,1327700,15
WDC,10728100,15
WFC,19139000,15
ZM,12886500,15
AA,3632500,14
AKAM,1678600,14
APLD,16050800,14
BBY,10598000,14
BHC,2193100,14
BIIB,1418000,14
BKR,4985700,14
BP,14119900,14
CAR,365100,14
CCL,20993000,14
CELH,10645000,14
CMA,1443700,14
COHR,2610100,14
CPNG,4689700,14
CVNA,1772200,14
CVS,7885100,14
DOCU,2691100,14
DOW,9225300,14
EBAY,3192700,14
EOG,3129800,14
ETSY,4570700,14
FL,3661900,14
GD,1095200,14
GLW,3926700,14
GM,25817300,14
GOLD,27768300,14
GTLB,1486300,14
HPQ,12112400,14
HUM,1555900,14
HUT,4740800,14
IBM,4449500,14
LOW,2422200,14
LUMN,10804100,14
LYFT,9460300,14
MAR,1459000,14
MGM,2852100,14
NCLH,7312500,14
NET,2365100,14
NIO,71245200,14
NOW,744400,14
NU,34490000,14
ON,5136800,14
ONON,2507600,14
PBR,12433100,14
PEP,4653800,14
PSX,2705500,14
RCL,1615600,14
RDDT,7697100,14
RKLB,41464000,14
ROKU,3405400,14
RTX,3176000,14
SE,2389600,14
SHOP,8028900,14
SQ,7855200,14
TFC,7296700,14
TJX,4724900,14
UAL,8317500,14
UPS,3424900,14
VZ,17247000,14
W,4146000,14
WYNN,1807400,14
ADM,3017000,13
