Ticker,Volume,number_options
IDAI,560179200,0
ELAB,325823900,0
NVDA,190287600,20
RGTI,126719100,5
IMG,114511300,0
SMCI,95313000,15
MARA,91188000,13
VSEE,87714300,0
RIVN,81743600,13
ZENA,80371300,0
INTC,69613500,19
IBIT,67423300,11
BSFC,67064000,0
TSLA,62295800,18
LCID,51932400,15
OPEN,51618900,10
TOYO,49091000,0
BITF,48087400,10
MSTR,47891000,17
PLTR,46923500,17
AAPL,45986100,18
QUBT,45862300,8
PLUG,45523700,12
AMZN,41673700,19
SMST,41647600,4
RKLB,41464000,14
SOUN,40536600,11
TSLL,40477600,10
PDYN,39615600,0
SOFI,38184300,15
CLSK,37181100,11
HSAI,36501600,4
TSLZ,35612100,4
XTIA,34942700,0
TQQQ,34873600,10
MDAI,33998700,0
SVMH,33973300,0
SAVA,33142300,11
AMD,32092300,21
TLT,31122200,28
PSTX,30136900,4
ASPI,28925900,5
WBD,27346600,16
EYEN,27120700,4
DEVS,26881100,0
BTBT,26720100,11
QQQ,26557000,26
WULF,26507400,13
RIOT,26449900,11
SQQQ,24916900,10
LESL,24550100,4
TNXP,23953600,0
ERIC,23691600,5
MSFT,23458800,19
TSLQ,22951400,4
XXII,22819400,2
AGNC,22242000,12
AAL,21625300,17
TLRY,21482600,10
JBLU,20625800,13
GOOGL,20486700,19
GRAB,20366400,10
MU,19275600,18
CMCSA,18392600,13
CAN,18227600,10
IREN,17683600,13
WBA,17438100,11
AMGN,17010300,15
IQ,16677600,11
HOOD,16612100,13
LUNR,16358800,10
AVGO,16308700,17
CRKN,16136800,0
APLD,16050800,14
PTON,15825700,12
LX,15639900,4
GOOG,14937400,17
AGRI,14603600,0
CSCO,14209600,16
MSTX,13852000,8
CORZ,13622200,13
COIN,13215700,16
PARA,13048300,17
ZM,12886500,15
TSDD,12866900,4
QMCO,12757500,1
AKTS,12751600,4
CDT,12375800,0
JD,12297200,17
FATE,12256800,4
NVDL,10999900,12
WDC,10728100,15
CELH,10645000,14
RCAT,10491800,6
META,10356500,18
MLGO,10312300,0
DBGI,10157400,0
QSI,9814100,5
MQ,9744300,6
CSX,9605800,13
KDP,9592900,8
FLNC,9581000,6
AUR,9537500,6
QCOM,9489800,19
LYFT,9460300,14
TNYA,9404200,4
CIFR,9376600,10
VCSH,9241300,4
PRZO,9207800,0
CONL,9190500,7
HBAN,9103300,7
DJT,9089200,12
TOI,9030500,0
MRVL,9016200,15
VLY,8978500,7
AFRM,8839500,13
MCHP,8778200,11
MDLZ,8706100,11
MVST,8643200,5
CERO,8642700,0
KHC,8526800,13
RXRX,8515800,12
ETHA,8504300,0
SGMO,8343000,6
UAL,8317500,14
ASTS,8295000,10
VCIT,8261200,4
CDIO,8222100,0
ALEC,8130300,4
ARWR,8052100,4
HST,8026800,4
VTYX,7611600,4
ESPR,7582900,6
PDD,7430300,17
VTRS,7419500,6
LRCX,7385200,15
TSHA,7377900,4
MRNA,7248900,16
RUN,7227400,15
NKLA,7163000,10
CGTX,7019600,0
CRWD,6951300,18
PTEN,6904900,6
SMTC,6885000,8
OPK,6789900,8
XP,6726900,10
STNE,6651000,11
VUZI,6608600,5
SHY,6597200,5
ADI,6569000,12
SBUX,6558200,17
AMAT,6517000,16
FFIE,6498500,10
ONB,6392700,4
TSLS,6328900,4
LAES,6328200,0
ZI,6236500,12
CHRS,6098900,5
MNKD,5996300,10
RUM,5989000,12
HTZ,5967500,13
PACB,5964500,6
NWL,5946800,7
SHLS,5863500,6
EXAS,5857200,9
SMTK,5843400,0
CFLT,5739000,12
UPST,5729300,12
FLEX,5705200,7
DKNG,5694000,16
NNE,5637800,13
RDFN,5632700,10
PYPL,5610400,18
EXC,5591700,9
BND,5538200,4
ROIV,5509300,8
KDLY,5463300,0
VOD,5462800,9
IGSB,5431700,3
IOVA,5417800,10
POET,5363100,10
GT,5325300,8
ALLO,5295100,4
TXN,5260400,16
QMMM,5256200,0
NFE,5238100,13
HIVE,5221300,10
VKTX,5187400,10
IGF,5183600,2
ON,5136800,14
EVLV,5130500,6
FITB,5110000,8
WOOF,5101900,6
IEF,5093000,11
CGC,5067200,12
SLM,5048500,4
NTNX,5041600,10
VGLT,5032400,4
SMH,4996400,16
NVTS,4986900,6
BKR,4985700,14
EVGO,4975500,6
CABA,4921000,6
HNST,4891200,4
PAYO,4854900,6
MBLY,4817800,10
STFS,4802700,0
IFBD,4778000,0
EMB,4765500,9
HUT,4740800,14
FTNT,4729200,13
APA,4680400,12
PEP,4653800,14
ARRY,4594200,7
ETSY,4570700,14
CPRT,4528000,8
LI,4526800,11
KC,4520100,4
NVDD,4490700,3
APP,4442100,16
ENPH,4432000,13
MNST,4411500,13
GILD,4406400,12
PFF,4369700,4
DDOG,4365600,16
ALAB,4343800,7
URBN,4335000,10
AZN,4334500,11
BBIO,4317400,7
BLDP,4311200,5
ENVX,4262400,11
CDZI,4208600,4
HON,4203200,13
WDAY,4189900,11
BZ,4187000,5
MYNZ,4157500,0
DXCM,4142000,13
BILI,4124500,12
MVIS,4090300,10
OXLC,4069000,0
MTEM,4038400,0
BYND,3994600,11
SEDG,3987000,11
FOXA,3916700,10
AKBA,3908100,4
GOEV,3907600,10
HTHT,3901700,4
ARCC,3898200,7
BLNK,3892700,10
GEVO,3885400,8
CEG,3881600,17
CLOV,3868100,10
SERV,3846400,10
MAT,3844800,7
GERN,3781100,7
BTDR,3739900,6
WW,3731400,5
PAA,3687800,11
BGC,3680100,4
NVAX,3672200,10
PSNY,3658900,6
JEPQ,3628900,4
NCPL,3586900,0
ENSC,3573600,0
HOVR,3550600,0
OLPX,3532800,4
TTD,3505500,13
EOSE,3447800,11
TSLT,3434200,4
MBB,3426400,5
ROKU,3405400,14
SRPT,3403400,12
AMDL,3398900,4
BLUE,3380800,6
VSAT,3356900,7
CLDX,3325100,5
MRVI,3322300,5
APLS,3302000,6
ULCC,3279100,5
TCOM,3275300,8
SHV,3266000,3
ATRO,3259300,4
TMUS,3251000,15
COMM,3245200,7
CRNC,3239100,5
VRPX,3238000,0
ABNB,3228400,16
EDIT,3228300,5
EBAY,3192700,14
DLTR,3182500,13
REAL,3156000,7
XEL,3155800,6
NFLX,3138200,15
BIDU,3131700,13
SABR,3113500,10
PDBC,3105700,4
CNSP,3104100,0
MRSN,3094300,5
VMBS,3086300,4
HAO,3076800,0
SYRS,3065700,4
SBRA,3051800,4
APPS,3043400,6
ARDX,3040100,6
SNY,3035800,6
TXG,3032300,4
