marketCap,trailingPE,forwardPE,returnOnEquity,priceToBook,priceToSalesTrailing12Months,returnOnAssets,operatingCashflow,revenueGrowth,grossMargins,operatingMargins,dividendYield,earningsGrowth,enterpriseToEbitda,beta,pegRatio,profitMargins,totalRevenue,quickRatio,currentRatio,Ticker
1858140897280.0,42.25298,30.4716,0.21933001,7.8544803,3.074692,0.06584,107951996928.0,0.101,0.48043,0.09915,,0.938,18.427,1.155,1.22,0.0735,604333998080.0,0.84,1.096,amzn
250832027648.0,186.72289,28.541437,0.024249999,4.4352226,10.776423,0.00801,1916000000.0,0.089,0.51418,0.0461,,8.553,59.918,1.681,1.36,0.05817,23275999232.0,1.794,2.819,amd
176673783808.0,56.592083,16.015585,0.49268,29.812311,5.7113137,0.04479,6446000128.0,0.201,0.63412,0.22914,0.0277,-0.463,19.689,0.58,2.97,0.10118,30933999616.0,0.755,1.264,amgn
111565152256.0,46.06096,37.82002,0.34463,13.230386,17.67602,0.16420999,2728257024.0,0.159,0.64012,0.41384998,,0.342,39.309,1.108,2.2,0.39008,6311667200.0,3.47,4.553,anet
106027614208.0,42.58912,33.62963,0.21584,27.495157,9.350125,0.04185,5064600064.0,0.046,0.71450996,0.44592,0.0294,0.882,21.782,0.808,0.97,0.21954,11339700224.0,0.524,0.597,amt
81108934656.0,40.089287,32.694176,0.25456,9.02815,6.056205,0.104449995,2723500032.0,0.182,0.33235002,0.21298,0.0099,0.108,25.874,1.256,2.23,0.15694,13392700416.0,1.203,2.017,aph
73171451904.0,27.097345,19.424452,0.82436997,12.484063,5.1682053,0.060310002,3126000128.0,0.184,0.47535,0.22766,0.007900001,-0.092,19.974,0.907,2.19,0.18004,14158000128.0,0.236,1.087,aon
63508738048.0,12.055136,13.011669,0.3132,4.5772104,2.4466903,0.02279,3103000064.0,-0.564,0.37181,0.24292,0.0171,0.355,,1.587,1.06,0.22028999,25956999168.0,1.709,1.761,apo
61327536128.0,23.987825,20.648203,0.16211,4.0610642,5.0665493,0.05104,3692600064.0,-0.016,0.31665,0.23798001,0.025799999,0.172,17.828,0.822,4.22,0.21239,12104399872.0,1.028,1.269,apd
54620987392.0,31.563637,10.034682,0.087910004,2.959932,0.06715335,0.058319997,255732367360.0,0.015,0.61559,0.22142,0.0313,,6.43,0.275,1.25,0.03995,813376929792.0,0.617,0.709,amx
43171610624.0,15.04208,11.534103,0.67629,8.668086,2.5453458,0.0216,6232000000.0,0.096,0.5834,0.36270002,0.0136,-0.023,,1.366,0.71,0.18089001,16961000448.0,2.145,2.996,amp
38756810752.0,29.212914,23.02476,0.15367,4.188834,5.6788735,0.07916,1805175040.0,0.054,0.35648,0.25279,0.0068,0.036,19.212,1.181,2.88,0.19514999,6824735744.0,0.691,1.256,ame
28265197568.0,57.14665,30.342403,0.094289996,5.058886,12.158926,0.054180004,757020032.0,0.196,0.91949,0.26495,,0.85,37.943,1.108,5.2,0.21297,2324645888.0,2.859,2.951,anss
16117477376.0,39.762886,55.898552,0.05447,2.012208,9.60859,0.01831,798793024.0,0.071,0.55,0.23474,0.0271,-0.074,22.687,0.746,6.66,0.21826,1677403008.0,0.718,1.48,amh
16043275264.0,22.2,14.23077,0.18400998,4.131001,1.1761932,0.05011,1320999936.0,-0.038,0.19883,0.124189995,0.045700002,0.443,11.761,0.865,2.74,0.05352,13639999488.0,0.571,1.165,amcr
12038045696.0,21.328167,19.018433,0.30341998,6.297398,3.0641296,0.14533,574099968.0,0.066,0.38351002,0.20238,0.015800001,0.019,14.193,1.141,2.0,0.14674,3928699904.0,1.012,1.698,aos
10531194880.0,3.081169,5.9312496,0.7938,1.9414893,1.1822176,0.12717,3039000064.0,0.463,0.71385,0.40894002,0.0358,0.186,3.339,3.27,6.8,0.32611,8908000256.0,0.726,1.01,apa
9823128576.0,,16.40367,0.06566,3.4600868,1.4290266,0.032479998,558000000.0,-0.023,0.29895002,0.07457,,0.853,17.45,1.82,1.02,0.028080001,6873999872.0,1.292,1.477,apg
8679213056.0,21.096893,16.732021,0.48014,8.044241,1.9436529,0.13215,748992000.0,0.221,0.64072,0.12538,,5.688,11.894,1.554,0.94,0.09527001,4465413120.0,1.041,1.641,anf
8222000640.0,21.953947,14.021008,0.09674,2.0295584,1.2845694,0.04439,1234509952.0,0.002,0.15247,0.05582,0.0098,0.038,7.082,1.861,-1.89,0.05874,6400588800.0,1.788,2.082,amkr
7159318016.0,9.821992,9.196228,0.36501,3.2792933,0.26888245,0.07243,451900000.0,-0.059,0.18293,0.04244,,-0.468,9.667,1.21,0.4,0.0293,26626199552.0,0.154,0.78,an
5183163904.0,10.125218,6.9373507,0.18146,1.7328163,2.555549,0.04715,1003200000.0,-0.024,0.55034,0.34859002,0.0002,-0.306,11.3,1.223,0.52,0.31500998,2028199936.0,77.041,77.041,amg
4884034560.0,,286.5,-1.09194,18.466852,7.7674036,-0.21506001,-408281984.0,1.103,0.36865002,-0.14745,,,-15.652,0.872,-0.92,-0.52942,628785984.0,4.001,5.084,apls
3490773504.0,16.666666,16.860464,0.06376,1.0496597,2.5107968,0.03401,410435008.0,0.079,0.44704,0.23858,0.0673,0.071,11.134,1.125,,0.14907,1390305024.0,0.451,0.607,aple
3194172928.0,34.71886,19.129412,0.08198,2.8386872,1.3950632,0.06376,96232000.0,0.069,0.4403,0.10845,,,15.283,0.79,2.34,0.040170003,2289626112.0,1.056,1.158,amed
2946041344.0,6.6414313,7.268465,0.28392,1.7924654,0.8742347,0.1384,690752000.0,-0.063,0.24459,0.08302,0.0089,-0.631,3.583,1.385,,0.13524,3369851904.0,2.726,3.551,amr
2940844544.0,12.558209,11.718663,0.55838,8.619135,2.8472056,0.13862,292825984.0,0.115,0.45422,0.31994,0.0688,0.053,9.83,1.811,-0.73,0.22748,1032888000.0,1.927,2.028,apam
2741093120.0,,-13.433333,-0.26725,3.655605,,-0.19296,-110570000.0,,,,,,,,,,,27.47,27.698,apge
2622113280.0,18.25,12.695653,0.11327,1.9462342,3.4894652,0.081499994,168630000.0,0.131,0.50751996,0.24549,,-0.023,10.915,1.096,0.41,0.1907,751436992.0,2.887,3.271,amk
2593970432.0,,11.971429,-1.4899001,,0.99845207,0.06087,252456992.0,0.171,0.37148,0.13735,,-0.75,9.062,1.231,4.47,-0.067210004,2597991936.0,0.763,1.333,amrx
2347747072.0,15.222222,10.679288,0.25566998,3.2912347,3.2932763,0.10130999,212598000.0,0.252,0.55059,0.30273,,0.49,9.508,0.795,0.53,0.23358,712891008.0,2.554,3.524,amph
2028161408.0,20.06391,15.78994,0.12078,2.3128927,0.62727386,0.04587,311964992.0,-0.253,0.32097,0.050869998,,-0.729,8.369,0.125,0.83,0.03069,3233295104.0,1.128,1.228,amn
1824842880.0,,-11.744186,,,0.40621573,-0.00728,-234800000.0,-0.235,0.12027001,-0.046279997,,,41.277,2.003,0.03,-0.081470005,4492299776.0,0.561,0.651,amc
1700358784.0,16.804714,13.902507,0.11768,1.2879667,0.13754597,0.0335,804153024.0,-0.305,0.05493,0.02102,0.0156,-0.348,6.178,0.622,1.94,0.00829,12362113024.0,1.184,2.074,ande
1555306240.0,27.738317,16.48889,0.05553,1.7003725,1.0280263,0.01555,37989000.0,0.339,0.16524,0.04782,,-0.25,21.9,1.777,0.88,0.037720002,1512904960.0,0.826,1.006,amrc
